[ 2025-02-14 13:35:17,678 ] 22 root - INFO - Initiate the data ingestion
[ 2025-02-14 13:35:24,930 ] 65 root - INFO - Performed train test split on the dataframe
[ 2025-02-14 13:35:24,931 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-02-14 13:35:24,931 ] 75 root - INFO - Exporting train and test file path.
[ 2025-02-14 13:35:24,983 ] 84 root - INFO - Exported train and test file path.
[ 2025-02-14 13:35:24,984 ] 24 root - INFO - Data Initiation Completed
[ 2025-02-14 13:35:24,994 ] 28 root - INFO - Initiate the data Validation
[ 2025-02-14 13:35:25,052 ] 32 root - INFO - Required number of columns:2
[ 2025-02-14 13:35:25,052 ] 33 root - INFO - Data frame has columns:31
[ 2025-02-14 13:35:25,052 ] 32 root - INFO - Required number of columns:2
[ 2025-02-14 13:35:25,053 ] 33 root - INFO - Data frame has columns:31
[ 2025-02-14 13:35:25,209 ] 30 root - INFO - data Validation Completed
